title,content,category,difficulty,questions
"My First Pet","I have a dog. His name is Max. He is brown and white. Max is 2 years old. He has big eyes and floppy ears. He is very cute.
Max likes to play with a ball. He runs very fast. I throw the ball and he brings it back. This game is called fetch.
Max also likes to sleep. He sleeps on a soft bed. Sometimes he snores.
I give Max food and water every day. He likes to eat chicken. I walk him in the park.
Max is my best friend. When I am sad, he sits by me. He licks my hand. He makes me happy.
Having a pet is fun but also work. I must brush his fur. I must clean up after him. But I don't mind.
I love Max very much. He loves me too. We are a happy family.","Life","小学","[{""question"": ""What is the name of the dog?"", ""options"": [""Rex"", ""Max"", ""Buddy"", ""Spot""], ""answer"": ""Max"", ""explanation"": ""文章开头提到 His name is Max。""}, {""question"": ""How old is Max?"", ""options"": [""1 year old"", ""2 years old"", ""5 years old"", ""10 years old""], ""answer"": ""2 years old"", ""explanation"": ""文章提到 Max is 2 years old。""}, {""question"": ""What game does Max like to play?"", ""options"": [""Hide and seek"", ""Fetch"", ""Tag"", ""Video games""], ""answer"": ""Fetch"", ""explanation"": ""文章提到 This game is called fetch。""}, {""question"": ""What does Max like to eat?"", ""options"": [""Fish"", ""Chicken"", ""Beef"", ""Vegetables""], ""answer"": ""Chicken"", ""explanation"": ""文章提到 He likes to eat chicken。""}, {""question"": ""Where does Max sleep?"", ""options"": [""On the floor"", ""In a box"", ""On a soft bed"", ""Outside""], ""answer"": ""On a soft bed"", ""explanation"": ""文章提到 He sleeps on a soft bed。""}]"
"A Trip to the Zoo","Yesterday, my class went to the zoo. We went by bus. The bus ride was long but fun. We sang songs.
At the zoo, we saw many animals. First, we saw the lions. They were sleeping. The lions are big and have loud roars.
Then we saw the monkeys. They were jumping on trees. They ate bananas. The monkeys were funny. Everyone laughed.
We also saw a tall giraffe. It has a very long neck. It was eating leaves from a high tree.
My favorite animal was the panda. The panda is black and white. It looks like a bear. It was eating bamboo.
We had lunch at the zoo. I ate a sandwich and an apple.
In the afternoon, we saw the elephants. They have long trunks. They sprayed water. It was cool.
Finally, we went to the gift shop. I bought a small toy tiger.
We were tired but happy. The zoo is a great place to learn about animals.","Life","小学","[{""question"": ""How did the class go to the zoo?"", ""options"": [""By car"", ""By train"", ""By bus"", ""By walking""], ""answer"": ""By bus"", ""explanation"": ""文章提到 We went by bus。""}, {""question"": "" What were the lions doing?"", ""options"": [""Running"", ""Sleeping"", ""Eating"", ""Roaring""], ""answer"": ""Sleeping"", ""explanation"": ""文章提到 They were sleeping。""}, {""question"": ""What is the favorite animal of the narrator?"", ""options"": [""Lion"", ""Monkey"", ""Panda"", ""Elephant""], ""answer"": ""Panda"", ""explanation"": ""文章提到 My favorite animal was the panda。""}, {""question"": ""What did the monkeys eat?"", ""options"": [""Apples"", ""Bananas"", ""Leaves"", ""Bamboo""], ""answer"": ""Bananas"", ""explanation"": ""文章提到 They ate bananas。""}, {""question"": ""What did the narrator buy at the gift shop?"", ""options"": [""A toy lion"", ""A toy tiger"", ""A magnet"", ""Candy""], ""answer"": ""A toy tiger"", ""explanation"": ""文章提到 I bought a small toy tiger。""}]"
"The Four Seasons","There are four seasons in a year: spring, summer, autumn, and winter. Each season is special.
Spring is warm. Flowers bloom. The trees turn green. Birds sing. It is a time for new life. People plant gardens.
Summer is hot. The sun shines bright. Days are long. Children do not go to school. Many people go to the beach. They swim in the sea. They eat ice cream.
Autumn is cool. The leaves change color. They turn red, yellow, and orange. The leaves fall from the trees. Farmers harvest crops. It is windy sometimes.
Winter is cold. It snows in some places. The days are short. People wear warm coats, hats, and gloves. Some people ski or make snowmen. Animals sleep in winter.
The seasons change every three months. My favorite season is summer because I like swimming.
Knowing the seasons helps us dress right. It also tells farmers when to plant food. Nature changes with the seasons.","Nature","小学","[{""question"": ""How many seasons are there in a year?"", ""options"": [""Two"", ""Three"", ""Four"", ""Five""], ""answer"": ""Four"", ""explanation"": ""文章第一句提到 There are four seasons in a year。""}, {""question"": ""What happens in spring?"", ""options"": [""It snows"", ""Flowers bloom"", ""Leaves fall"", ""It is very hot""], ""answer"": ""Flowers bloom"", ""explanation"": ""文章提到 Flowers bloom。""}, {""question"": ""Why do people go to the beach in summer?"", ""options"": [""To ski"", ""To harvest crops"", ""To swim"", ""To sleep""], ""answer"": ""To swim"", ""explanation"": ""文章提到 They swim in the sea。""}, {""question"": ""What color do leaves turn in autumn?"", ""options"": [""Blue and purple"", ""Red, yellow, and orange"", ""Black and white"", ""Pink""], ""answer"": ""Red, yellow, and orange"", ""explanation"": ""文章提到 They turn red, yellow, and orange。""}, {""question"": ""What do people wear in winter?"", ""options"": [""T-shirts"", ""Shorts"", ""Warm coats, hats, and gloves"", ""Sandals""], ""answer"": ""Warm coats, hats, and gloves"", ""explanation"": ""文章提到 People wear warm coats, hats, and gloves。""}]"
"School Life","School life is a very important part of a student's life. It is busy but interesting. I am a middle school student. My school is not far from my home.
Every morning, I get up at 6:30. I have breakfast and then go to school. My classes start at 8:00. We have four classes in the morning.
We study many subjects like Chinese, Math, English, History, and Science. My favorite subject is Science because we can do experiments.
At 12:00, we have lunch. I usually eat at the school cafeteria. The food is okay. After lunch, we have a short break. I talk with my friends or read books.
Afternoon classes start at 1:30. We have two more classes. Then we have sports time. I like playing basketball. It keeps me healthy and strong.
After school finishes at 4:30, I go home to do my homework. Sometimes homework is hard, but I try my best.
School is not just about books. I also learn how to make friends and help others. We have school trips once a term.
I like my teachers. They are kind and strict. They help me learn new things.
School life prepares us for the future. I want to be a scientist when I grow up. So I must study hard now.","Life","初中","[{""question"": ""What time does the narrator get up?"", ""options"": [""6:00"", ""6:30"", ""7:00"", ""7:30""], ""answer"": ""6:30"", ""explanation"": ""文章提到 I get up at 6:30。""}, {""question"": ""Why is Science the favorite subject?"", ""options"": [""It is easy"", ""The teacher is funny"", ""They can do experiments"", ""No homework""], ""answer"": ""They can do experiments"", ""explanation"": ""文章提到 because we can do experiments。""}, {""question"": ""Where does the narrator eat lunch?"", ""options"": [""At home"", ""In a restaurant"", ""At the school cafeteria"", ""In the park""], ""answer"": ""At the school cafeteria"", ""explanation"": ""文章提到 at the school cafeteria。""}, {""question"": ""What sport does the narrator like?"", ""options"": [""Soccer"", ""Swimming"", ""Basketball"", ""Running""], ""answer"": ""Basketball"", ""explanation"": ""文章提到 I like playing basketball。""}, {""question"": ""What does the narrator want to be in the future?"", ""options"": [""A teacher"", ""A doctor"", ""A scientist"", ""A writer""], ""answer"": ""A scientist"", ""explanation"": ""文章提到 I want to be a scientist。""}]"
"The Value of Friendship","Friendship is one of the most valuable things in our lives. A true friend is someone who is always there for you, in good times and bad times.
Making friends is easy, but keeping friendship is hard. It requires trust, honesty, and care. We must be honest with our friends. If we lie, we will lose their trust.
I have a best friend named Tom. We have known each other for five years. We share many hobbies. We both like reading and playing chess.
One day, I lost my wallet. I was very worried. I didn't know what to do. Tom helped me look for it everywhere. Finally, we found it in the library. I was so thankful.
True friends also help us become better people. When I make a mistake, Tom tells me. He doesn't laugh at me. He helps me correct it.
Friendship is like a plant. You need to water it often. This means spending time together and talking.
In middle school, we meet many new people. Some become our friends. We should treat everyone with kindness.
A life without friends is lonely. Friends bring joy and laughter. We share secrets and dreams.
We should cherish our friends. A good friend is a treasure.","Life","初中","[{""question"": ""What are the requirements for keeping friendship mentioned in text?"", ""options"": [""Money and power"", ""Trust, honesty, and care"", ""Fun and games"", ""Traveling together""], ""answer"": ""Trust, honesty, and care"", ""explanation"": ""文章提到 It requires trust, honesty, and care。""}, {""question"": ""What happened when the narrator lost the wallet?"", ""options"": [""Tom laughed"", ""Tom bought a new one"", ""Tom helped look for it"", ""Tom ignored it""], ""answer"": ""Tom helped look for it"", ""explanation"": ""文章提到 Tom helped me look for it everywhere。""}, {""question"": ""How long have they known each other?"", ""options"": [""For one year"", ""For three years"", ""For five years"", ""For ten years""], ""answer"": ""For five years"", ""explanation"": ""文章提到 We have known each other for five years。""}, {""question"": ""What does the narrator compare friendship to?"", ""options"": [""A car"", ""A house"", ""A plant"", ""A book""], ""answer"": ""A plant"", ""explanation"": ""文章提到 Friendship is like a plant。""}, {""question"": ""What should we do when a friend makes a mistake?"", ""options"": [""Laugh at them"", ""Help them correct it"", ""Tell everyone"", ""Stop being friends""], ""answer"": ""Help them correct it"", ""explanation"": ""文章提到 He helps me correct it。""}]"
"Amazing Insects","Insects are the most common animals on Earth. They are everywhere: in gardens, forests, deserts, and even in water. There are millions of kinds of insects.
All insects have three body parts: a head, a thorax, and an abdomen. They also have six legs and two antennae. Many insects have wings and can fly.
Some insects are very beautiful, like butterflies. They have colorful wings. They help flowers by carrying pollen.
Bees are very important insects. They make honey. They live in large groups called colonies. The queen bee lays eggs. Worker bees collect food.
Ants are also social insects. They are very strong. An ant can carry things much heavier than its own body. They work together to build their homes.
Some insects can be annoying, like mosquitoes. They bite people and can spread diseases.
Spiders are often thought to be insects, but they are not. Spiders have eight legs, while insects have six.
Insects play a big role in nature. They are food for birds and other animals. They help clean the environment.
Studying insects is called entomology. Scientists learn a lot from them. Insects have been on Earth for a very long time, much longer than humans.
Next time you see a bug, look closely. It is a small but amazing creature.","Nature","初中","[{""question"": ""How many body parts do all insects have?"", ""options"": [""Two"", ""Three"", ""Four"", ""Five""], ""answer"": ""Three"", ""explanation"": ""文章提到 All insects have three body parts。""}, {""question"": ""How many legs do insects have?"", ""options"": [""Four"", ""Six"", ""Eight"", ""Ten""], ""answer"": ""Six"", ""explanation"": ""文章提到 They also have six legs。""}, {""question"": ""What do bees make?"", ""options"": [""Milk"", ""Silk"", ""Honey"", ""Cotton""], ""answer"": ""Honey"", ""explanation"": ""文章提到 They make honey。""}, {""question"": ""Why are spiders NOT insects?"", ""options"": [""They are too big"", ""They have eight legs"", ""They don't have wings"", ""They eat flies""], ""answer"": ""They have eight legs"", ""explanation"": ""文章提到 Spiders have eight legs, while insects have six。""}, {""question"": ""What is the study of insects called?"", ""options"": [""Biology"", ""Zoology"", ""Entomology"", ""Geology""], ""answer"": ""Entomology"", ""explanation"": ""文章提到 Studying insects is called entomology。""}]"
"The Internet Revolution","The Internet is one of the greatest inventions of modern times. It has completely changed how we live, work, and communicate.
In the past, sending a letter took days or weeks. Now, we can send an email in seconds. We can talk to friends on the other side of the world using video calls.
The Internet is a huge library. We can find information about anything. If you want to cook a new dish, fix a bike, or learn a language, the Internet can help you. Search engines like Google make this very easy.
Entertainment has also changed. We can watch movies, listen to music, and play games online. We don't need to rent DVDs or buy CDs anymore.
Online shopping is very popular. We can buy clothes, books, and electronics from home. It is convenient and often cheaper.
However, the Internet has some problems. There is too much information, and not all of it is true. We must be careful about fake news.
Also, spending too much time online is bad for our eyes and health. Some people become addicted to games or social media.
Cyber safety is important. We should not share personal information with strangers. We must protect our passwords.
Despite the risks, the Internet is very useful. It connects the world. We should use it wisely to learn and grow.
Life without the Internet is hard to imagine for young people today.","Tech","初中","[{""question"": ""What has the Internet changed?"", ""options"": [""Only cooking"", ""How we live, work, and communicate"", ""The weather"", ""Nothing""], ""answer"": ""How we live, work, and communicate"", ""explanation"": ""文章提到 It has completely changed how we live, work, and communicate。""}, {""question"": ""What is an advantage of email mentioned?"", ""options"": [""It is expensive"", ""It takes weeks"", ""It arrives in seconds"", ""It uses paper""], ""answer"": ""It arrives in seconds"", ""explanation"": ""文章提到 we can send an email in seconds。""}, {""question"": ""Why is online shopping popular?"", ""options"": [""It is difficult"", ""It is convenient and often cheaper"", ""There are no choices"", ""It is slow""], ""answer"": ""It is convenient and often cheaper"", ""explanation"": ""文章提到 It is convenient and often cheaper。""}, {""question"": ""What is a problem with the Internet?"", ""options"": [""It is too fast"", ""Not all information is true"", ""It has no pictures"", ""It is too small""], ""answer"": ""Not all information is true"", ""explanation"": ""文章提到 not all of it is true。""}, {""question"": ""What should we protect online?"", ""options"": [""Our passwords"", ""Our old shoes"", ""Our trash"", ""Our homework""], ""answer"": ""Our passwords"", ""explanation"": ""文章提到 We must protect our passwords。""}]"
"The Impact of Climate Change","Climate change is one of the most pressing global issues facing humanity in the 21st century. It refers to long-term shifts in temperatures and weather patterns. While these shifts can be natural, scientific evidence shows that human activities have been the main driver of climate change since the industrial revolution.
The primary cause is the emission of greenhouse gases, such as carbon dioxide and methane. Burning fossil fuels like coal, oil, and gas for energy contributes significantly to this. When these gases accumulate in the atmosphere, they trap the sun's heat, creating a ""greenhouse effect"" that warms the planet. Deforestation also plays a role, as trees absorb carbon dioxide, and cutting them down releases it back into the air.
The consequences of a warming world are severe and far-reaching. We are witnessing more frequent and intense extreme weather events, including hurricanes, droughts, heatwaves, and floods. Glaciers and polar ice caps are melting at an alarming rate, causing sea levels to rise. This threatens coastal communities and low-lying island nations with inundation.
Biodiversity is also at risk. Many animal and plant species differ struggle to adapt to the rapidly changing environment. Coral reefs, for example, are dying due to warmer and more acidic oceans.
Agriculture faces challenges as shifting weather patterns affect crop yields. This could lead to food shortages and higher prices, impacting global food security. Water scarcity is another growing concern in many arid regions.
To combat climate change, global cooperation is essential. The Paris Agreement is an international treaty that aims to limit global warming. Countries are working to transition to renewable energy sources like solar, wind, and hydro power.
Individuals can also contribute by reducing their carbon footprint. Simple actions like using public transport, conserving energy, and reducing waste can make a difference.
The fight against climate change is a race against time. It requires immediate and sustained action from governments, businesses, and individuals to protect our planet for future generations.","Science","高中","[{""question"": ""What is the main driver of climate change since the industrial revolution?"", ""options"": [""Solar flares"", ""Human activities"", ""Volcanic activity"", ""Ocean tides""], ""answer"": ""Human activities"", ""explanation"": ""文章提到 human activities have been the main driver。""}, {""question"": ""How does deforestation contribute to climate change?"", ""options"": [""It cools the earth"", ""Trees release oxygen"", ""It releases stored carbon dioxide"", ""It creates more shade""], ""answer"": ""It releases stored carbon dioxide"", ""explanation"": ""文章提到 cutting them down releases it back into the air。""}, {""question"": ""What is a consequence of melting ice caps?"", ""options"": [""Lower sea levels"", ""Rising sea levels"", ""More land area"", ""Colder oceans""], ""answer"": ""Rising sea levels"", ""explanation"": ""文章提到 causing sea levels to rise。""}, {""question"": ""How are coral reefs affected?"", ""options"": [""They are growing faster"", ""They are dying"", ""They are changing color only"", ""They are unaffected""], ""answer"": ""They are dying"", ""explanation"": ""文章提到 Coral reefs... are dying due to warmer... oceans。""}, {""question"": ""What is the Paris Agreement?"", ""options"": [""A trade deal"", ""A peace treaty"", ""An international treaty to limit global warming"", ""A science project""], ""answer"": ""An international treaty to limit global warming"", ""explanation"": ""文章提到 an international treaty that aims to limit global warming。""}]"
"The Rise of Artificial Intelligence","Artificial Intelligence, or AI, is transforming the world at an unprecedented pace. It involves the simulation of human intelligence processes by computer systems, such as learning, reasoning, and self-correction. From virtual assistants like Siri to self-driving cars, AI is becoming an integral part of our daily lives.
One of the most significant impacts of AI is in the field of healthcare. AI algorithms can analyze medical images to detect diseases like cancer with high accuracy, often earlier than human doctors. It also helps in drug discovery and personalized medicine, tailoring treatments to individual genetic profiles.
In the business world, AI drives efficiency. It automates repetitive tasks, analyzes market trends, and enhances customer service through chatbots. This allows human workers to focus on more creative and strategic activities.
However, the rapid advancement of AI also raises ethical and societal concerns. One major worry is the potential displacement of jobs. As machines become more capable, there is a risk that they will replace humans in various industries, leading to unemployment.
Bias in AI is another critical issue. AI systems learn from data, and if the data is biased, the system's decisions will be biased too. This can lead to unfair treatment in areas like hiring or law enforcement.
There is also the question of control. As AI systems become more autonomous, ensuring they align with human values and safety standards is paramount. The concept of ""superintelligence""—an AI that surpasses human intelligence—poses theoretical risks that researchers are debating.
Despite these challenges, the potential benefits of AI are immense. It can help solve complex global problems like climate change and energy efficiency.
To harness the power of AI responsibly, we need robust regulations and ethical guidelines. Education systems must also adapt to prepare the workforce for an AI-driven future.
AI is not just a technological tool; it is a force that will reshape human civilization.","Tech","高中","[{""question"": ""What does AI involve?"", ""options"": [""Only calculation"", ""Simulation of human intelligence processes"", ""Building robots only"", ""Writing books""], ""answer"": ""Simulation of human intelligence processes"", ""explanation"": ""文章提到 It involves the simulation of human intelligence processes。""}, {""question"": ""How does AI help in healthcare?"", ""options"": [""It performs surgery alone"", ""It detects diseases like cancer"", ""It sells medicine"", ""It cleans hospitals""], ""answer"": ""It detects diseases like cancer"", ""explanation"": ""文章提到 analyze medical images to detect diseases like cancer。""}, {""question"": ""What is a major worry regarding AI?"", ""options"": [""It is too slow"", ""It is too expensive"", ""Displayment of jobs"", ""It consumes too much electricity""], ""answer"": ""Displayment of jobs"", ""explanation"": ""文章提到 potential displacement of jobs。""}, {""question"": ""Why can AI be biased?"", ""options"": [""It hates humans"", ""If the learning data is biased"", ""Programmers are evil"", ""It is random""], ""answer"": ""If the learning data is biased"", ""explanation"": ""文章提到 if the data is biased, the system's decisions will be biased too。""}, {""question"": ""What is needed to harness AI responsibly?"", ""options"": [""Stopping all research"", ""Robust regulations and ethical guidelines"", ""More computers"", ""Nothing""], ""answer"": ""Robust regulations and ethical guidelines"", ""explanation"": ""文章提到 we need robust regulations and ethical guidelines。""}]"
"The Importance of Cultural Diversity","Cultural diversity refers to the existence of a variety of cultural or ethnic groups within a society. In our increasingly globalized world, embracing cultural diversity is more important than ever. It enriches our lives and drives social and economic progress.
First, cultural diversity fosters creativity and innovation. When people from different backgrounds come together, they bring unique perspectives and problem-solving skills. This diversity of thought leads to new ideas and better solutions. Studies have shown that diverse teams often outperform homogenous ones in business and research.
Second, exposure to different cultures promotes tolerance and understanding. By learning about other traditions, languages, and beliefs, we break down stereotypes and reduce prejudice. It encourages empathy and helps us realize that despite our differences, we share common human values.
Cultural diversity also boosts economic growth. A diverse workforce can better understand and serve a global customer base. It opens up new markets and opportunities for trade.
However, achieving true harmony in a diverse society has its challenges. Language barriers and cultural misunderstandings can lead to conflict. It requires active effort to create inclusive environments where everyone feels valued and respected.
Education plays a crucial role in promoting cultural appreciation. Schools should teach students about world history and cultures to cultivate global citizenship.
Traveling is another way to experience diversity firsthand. It broadens our horizons and challenges our assumptions.
Food is perhaps the most accessible gateway to other cultures. Trying cuisines from around the world is a simple yet powerful way to connect with others.
In conclusion, cultural diversity is a strength, not a weakness. It makes our communities more vibrant and resilient. By celebrating our differences, we build a more peaceful and prosperous world for all.","Culture","高中","[{""question"": ""What does cultural diversity foster?"", ""options"": [""Isolation"", ""Creativity and innovation"", ""Conflict only"", ""Sameness""], ""answer"": ""Creativity and innovation"", ""explanation"": ""文章提到 fosters creativity and innovation。""}, {""question"": ""How does diversity affect teams?"", ""options"": [""They perform worse"", ""They argue more"", ""They outperform homogenous ones"", ""No difference""], ""answer"": ""They outperform homogenous ones"", ""explanation"": ""文章提到 diverse teams often outperform homogenous ones。""}, {""question"": ""What does exposure to other cultures promote?"", ""options"": [""Tolerance and understanding"", ""Fear"", ""Confusion"", ""Boredom""], ""answer"": ""Tolerance and understanding"", ""explanation"": ""文章提到 promotes tolerance and understanding。""}, {""question"": ""What is a challenge of diverse societies?"", ""options"": [""Too much food"", ""Language barriers"", ""Too many holidays"", ""Everyone agrees""], ""answer"": ""Language barriers"", ""explanation"": ""文章提到 Language barriers... can lead to conflict。""}, {""question"": ""What is a crucial role of education?"", ""options"": [""Teaching only math"", ""Promoting cultural appreciation"", ""Keeping students quiet"", ""Reducing travel""], ""answer"": ""Promoting cultural appreciation"", ""explanation"": ""文章提到 Education plays a crucial role in promoting cultural appreciation。""}]"
